,title,score,ratings,containsAds,price,free,realInstalls,released,inAppProductPrice,icon
0,Flo Period & Pregnancy Tracker,4.5973053,3317869,False,0,True,123027567,"Apr 12, 2016",$0.99 - $99.99 per item,https://play-lh.googleusercontent.com/S2NYJ-zQxMfCGe4NyP_jRQmoNHeLB0TwlDqNSA6BKKWgm3GHWVhbXiLpejzyiLkAG7qM
1,Yuka - Food & Cosmetic Scanner,4.388679,115480,False,0,True,24068011,"Dec 2, 2019",$10.00 - $20.00 per item,https://play-lh.googleusercontent.com/fmGc9NGmf0ZTV2PQIhZ7lprvqNaUOaZEFXZg6MIG5fDaUiTua4Y2D7IxA3jaHDj2xQ
2,Daylio Journal - Mood Tracker,4.747704,391358,True,0,True,15452230,"Aug 17, 2015",$0.99 - $59.99 per item,https://play-lh.googleusercontent.com/wweiF4j7oCrolJVXpqaBf7egP7ia8j0nt4b97ebS7BcRRQLLIp6fA3HDX0qT1qd4UQ
3,HealthifyMe â€“ Calorie Counter,4.463612,528408,False,0,True,36004427,"May 11, 2013",$0.99 - $79.99 per item,https://play-lh.googleusercontent.com/9NCPUYlB7165VMxuMEvI5BhP86mGcBOvcz-LQH2TLn10qF9t3xQE_p4ek5-zWdIu
4,Water Reminder - Remind Drink ,4.8279033,366967,True,0,True,23125890,"Oct 10, 2019",$3.49 per item,https://play-lh.googleusercontent.com/-XJ41d9DzwBATJUZVYl_gcFV7csJvfiBNjUSDWofpzPUcMY5RLUzwev4K1YSWTKj_SU
5,Sleep Cycle: Sleep Tracker,4.3561416,192750,False,0,True,14889398,"Jun 16, 2014",$0.99 - $59.99 per item,https://play-lh.googleusercontent.com/dar3zPlTbJYfHtH0hG4WOOK28ujJTj5kz51SwDuZc-HrmSgjZyavEDY_k4jmiJ9QwFo
6,Fasting - Intermittent Fasting,4.852537,792748,True,0,True,43397720,"Oct 25, 2019",$2.99 - $34.99 per item,https://play-lh.googleusercontent.com/eZzcm9SGr5mlgM6_qO_PJXFRh2lymgbZSdmS5jc7MIBFULiSz27e86YOuyOS35O4nQ
7,Personal Health Monitor,3.892857,595,False,0,True,352762,"Dec 22, 2020",,https://play-lh.googleusercontent.com/Auwelj1G64r_0Hg8NyLjqR-6osFGNMvpefj1ztCbupRhxBMkxFTdQYevsbscOiG2pctf
8,Eat This Much - Meal Planner,4.5249405,8622,False,0,True,1893900,"Apr 6, 2016",$0.99 - $84.99 per item,https://play-lh.googleusercontent.com/_7nDHuFScI1ksZpoPEeA5e9UdGAACA3aMaoTxCA2Zf0LH3e4H7w74N4bdNAjl4zJlXA
9,Heart Rate Monitor - Pulse App,4.7572536,213622,True,0,True,11508781,"Jan 14, 2022",$4.99 per item,https://play-lh.googleusercontent.com/IuvhhkzeZPm5-M31VQwiWv62vv2nZ_-dr35MMsj-F3qNj9RXvkwQIE56VlHq9aG7R-7K
10,Health Connect (Beta),3.2626262,14238,False,0,True,187323306,"Nov 10, 2022",,https://play-lh.googleusercontent.com/EbzDx68RZddtIMvs8H8MLcO-KOiBqEYJbi_kRjEdXved0p3KXr0nwUnLUgitZ5kQVWVZ
11,OnePlus Health,2.13,15283,False,0,True,1748411,"Jan 18, 2021",,https://play-lh.googleusercontent.com/cQ7E0Y1m2evU_q4SZ4Q9rMAwY7S7oUwyZdCWXn__GWRbcHOojXaUc7N_72W6It4hqKE
